Text,Label,type
"select count  (  *  )   from generate_series  (  1,5000000  )   and    (    (     (  '%'  =  '",1,sql
<figure onpointermove=alert(1)>XSS</figure>,2,xss
1 where 3354  =  3354,1,sql
7.14471E+15,0,sql
"1' and elt  (  4249  =  4249,7259  )  ",1,sql
"<script type=""text/javascript"" src=""_static/readthedocs-data.js""></script>",0,xss
1' in boolean mode  )   rlike   (  select   (  case when   (  1343  =  1595  )   then 1 else 0x28 end   )    )   #,1,sql
	 </span> </li>,0,xss
 ,0,xss
"1%'   )    )    union all select null,null#",1,sql
"1""  )   where 2633  =  2633 union all select null,null,null,null#",1,sql
SELECT TOP 3 * FROM name WHERE tiny = 'ice' SELECT * FROM gain,0,xss
<s onpointerdown=alert(1)>XSS</s>,2,xss
"<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r886047268""/>",0,xss
SELECT AVG ( oldest ) FROM send SELECT SUM ( solid ) ,0,sql
SELECT AVG ( equally ) FROM night,0,sql
-3921'  )   as audo where 7087  =  7087 or 1755  =  4937--,1,sql
<time onpointerenter=alert(1)>XSS</time>,2,xss
<animate onpointerleave=alert(1)>XSS</animate>,2,xss
"<A HREF=""//google""></A>",2,xss
SELECT * FROM floating WHERE magic NOT BETWEEN 'worse' AND 'conversation',0,sql
pascual,0,sql
"<style>:target {color: red;}</style><param id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></param>",2,xss
SELECT widely ( s )  FROM lonely FULL OUTER JOIN,0,sql
 </li>,0,xss
cristaldo marchan,0,sql
	 </span> </a> </li>,0,xss
madhim,0,sql
SELECT * FROM help WHERE fought LIKE '%poor%',0,sql
<slot onfocusout=alert(1) tabindex=1 id=x></slot><input autofocus>,2,xss
SELECT TOP 50 PERCENT * FROM went SELECT * FROM that FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM ear,0,sql
"<li id=""cite_note-pmid31835078-23""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-pmid31835078_23-0"">^ </a> </b> ",0,xss
"-1337""  )   union all select 7508--",1,xss
8775,0,sql
"  SELECT WEEKOFYEAR ( ""2017-06-15"" ) ;",0,sql
" SELECT column_name ( s )  FROM difference,damage",0,sql
"-8797""   )    )    order by 1#",1,sql
SELECT worker ( s )  FROM outline SELECT pale FROM power,0,sql
"  SELECT Orders.gunrID, Employees.driven, Employees.voice FROM OrdersRIGHT JOIN Employees ON Orders.EmployeeID  =  Employees.dozenID ORDER BY Orders.establishID",0,sql
"<li><a href=""#CITEREFNilsson1998"">Nilsson 1998 </a>, chpt. 21 </li> </ul>",0,xss
"INSERT INTO gold ( twice, else, post, direct, favorite, wear )  VALUES  ( 'shelf', 'sum'. bent', 'merely', 'struggle', 'great', 'longer' )  ",0,sql
SELECT DISTINCT spoken FROM tribe,0,sql
varley@tecnoindomo.ki,0,sql
SELECT * FROM tight WHERE fuel BETWEEN 'general' AND 'line',0,sql
SELECT * FROM copy WHERE solution BETWEEN 'like' AND 'speak',0,sql
SELECT AVG ( desk )  FROM explore  SELECT SUM ( make ) ,0,sql
